modelis,tau,fpr,ataku_aptikta,macro_f1,tikslumas
Random Forest,0.65,0.2268,0.9716415728694636,0.7219019889113218,0.8331533343776021
Random Forest,0.7,0.1893333333333333,0.965783009593254,0.7196808343002049,0.8303915183392829
Random Forest,0.75,0.1490666666666666,0.958241972421186,0.7160796734341942,0.8264287932375354
Random Forest,0.8,0.1098,0.9476226099268826,0.7085624262485646,0.8199186019989503
Random Forest,0.85,0.0713333333333333,0.9331281116451844,0.6981207497650836,0.8102728564322833
Random Forest,0.9,0.0389333333333333,0.9132938367570388,0.6797269903731578,0.7960708014213047
Random Forest,0.93690427,0.0187333333333333,0.8947178345099186,0.6609249495406773,0.7824898115094905
Random Forest,0.96018928,0.0094,0.880180342857798,0.6422951009659628,0.7716376607280752
Random Forest,0.97488114,0.0048666666666666,0.8703835868509076,0.6277902416873075,0.7641986199164036
Random Forest,0.98415107,0.0024666666666666,0.863435858190667,0.6154278780871772,0.7586859801424053
Random Forest,0.99,0.0015333333333333,0.8559206170408523,0.5988750236983178,0.7522472388709806
Random Forest,0.99369043,0.0012,0.8535502492182372,0.5956821875198568,0.7502383955635067
Random Forest,0.99601893,0.0008,0.8444958454073048,0.5777898316432277,0.7420491300966499
Random Forest,0.99748811,0.0006666666666666,0.8435815197296577,0.5765080964745071,0.7412714246848644
Random Forest,0.99841511,0.0005333333333333,0.8428534986571737,0.5756125312921585,0.74064211535872
Random Forest,0.999,0.0004,0.8421398087081639,0.5746338838851303,0.7400347906378558
Random Forest,0.99936904,0.0004,0.8413974565122058,0.5734077958162407,0.7393725044037912
Random Forest,0.99960189,0.0004,0.8407009639113648,0.5722360544658007,0.7387459431533069
Random Forest,0.99974881,0.0002666666666666,0.8398238991547503,0.5709785068206467,0.7379517492875614
Random Forest,0.99984151,0.0002666666666666,0.8390643496106234,0.5693874737479591,0.7372537380699166
Random Forest,0.9999,0.0002,0.8384022517061203,0.5684413429719293,0.7366436652733923
Random Forest,0.9999369,0.0002,0.8379551206537286,0.5673944360893419,0.7362342020000495
Random Forest,0.99996019,0.0001333333333333,0.8373790094900699,0.5663969484905665,0.7357148157003058
Random Forest,0.99997488,0.0001333333333333,0.8369978016056591,0.5654045828435393,0.7353768023941235
Random Forest,0.99998415,0.0001333333333333,0.8367484400572098,0.5645622610509291,0.7351432159630219
Random Forest,0.99999,0.0001333333333333,0.8366079950471638,0.5644085221109505,0.735014056407001
Random Forest,0.99999369,0.0001333333333333,0.8361809275676357,0.5635012554368564,0.7346100892849782
Random Forest,0.99999602,6.666666666666667e-05,0.8361092719502653,0.5634148609890884,0.7345441354691378
Random Forest,0.99999749,6.666666666666667e-05,0.8358914388734591,0.5631385528964254,0.7343352817189763
Random Forest,0.99999842,6.666666666666667e-05,0.8358914388734591,0.5631385528964254,0.7343352817189763
Random Forest,0.999999,6.666666666666667e-05,0.8358914388734591,0.5631385528964254,0.7343352817189763
XGBoost,0.5,0.2757333333333333,0.97889025512266,0.7170069203256955,0.8321557829130152
XGBoost,0.55,0.2455333333333333,0.9758663880696264,0.717155924318108,0.8312846429287891
XGBoost,0.6,0.2196666666666666,0.9724154535370646,0.7164932329500271,0.8298968647204795
XGBoost,0.65,0.1912666666666666,0.9684629296829096,0.715550496077974,0.8282672558540882
XGBoost,0.7,0.1644,0.9638053145538292,0.7141026473739331,0.8260660472504129
XGBoost,0.75,0.1357333333333333,0.9578865605590284,0.7119070886174311,0.8230733928566522
XGBoost,0.8,0.1084666666666666,0.9507238650466764,0.7082627526864991,0.8189979966528439
XGBoost,0.85,0.0822,0.9415519460232564,0.7026695627730124,0.8133864261550849
XGBoost,0.9,0.0559333333333333,0.9292386447343152,0.6955738612616399,0.8056066239615709
XGBoost,0.93690427,0.0358,0.9162403157433124,0.6871122759026522,0.7971810239879524
XGBoost,0.96018928,0.0242,0.9040445296668588,0.6765875124220273,0.7887856528465942
XGBoost,0.97488114,0.015,0.8934108360490812,0.6668519988492357,0.7816873734167649
XGBoost,0.98415107,0.0094,0.884402291833266,0.6577522441367206,0.7753173340368407
XGBoost,0.99,0.0059333333333333,0.8767437394487103,0.6490875456176057,0.7697332442956819
XGBoost,0.99369043,0.0036666666666666,0.8704323126707195,0.6390876872696111,0.7649021272853684
XGBoost,0.99601893,0.0021333333333333,0.8650237466715965,0.6297752816119062,0.7607140599794994
XGBoost,0.99748811,0.0015333333333333,0.8605610348217638,0.6211225135602084,0.7571910269833549
XGBoost,0.99841511,0.001,0.8566142434169984,0.6127245494999496,0.7538850919643519
XGBoost,0.999,0.0006,0.8531002519411507,0.6052629090738054,0.7507715222415503
XGBoost,0.99936904,0.0003333333333333,0.8497696988457714,0.5978745901244901,0.7477761197721295
XGBoost,0.99960189,0.0002,0.8458630345867334,0.5883055181599878,0.7441706445061845
XGBoost,0.99974881,0.0002,0.8417471359249737,0.5789552899295842,0.7404085289276184
